GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
rocketmq-broker 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.broker.processor,PullMessageProcessor.new Object() {...},12,81,0,0,0,2,0,1,0,1
rocketmq-broker 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.broker.processor,PullMessageProcessor.new Runnable() {...},63,0,2,0,15,0,3,0,2,0
rocketmq-broker 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.broker.processor,PullMessageProcessor.new ChannelFutureListener() {...},27,0,2,0,5,0,3,0,2,0
rocketmq-broker 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.broker.processor,SendMessageProcessor.new Object() {...},10,65,0,0,0,1,0,1,0,1
rocketmq-broker 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.broker.processor,ConsumerManageProcessor,213,10,14,0,64,4,13,2,5,2
rocketmq-broker 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.broker.processor,EndTransactionProcessor,388,10,31,0,108,4,23,2,3,2
rocketmq-broker 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.broker.processor,AdminBrokerProcessor.new Object() {...},12,0,0,0,1,0,1,0,1,0
rocketmq-broker 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.broker.processor,QueryMessageProcessor.new ChannelFutureListener() {...},21,0,2,0,5,0,3,0,2,0
rocketmq-broker 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.broker.processor,AdminBrokerProcessor,3019,10,182,0,718,4,147,2,39,2
rocketmq-broker 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.broker.processor,QueryMessageProcessor.new ChannelFutureListener() {...},21,0,2,0,5,0,3,0,2,0
rocketmq-broker 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.broker.processor,PullMessageProcessor.2.new ChannelFutureListener() {...},32,0,2,0,6,0,3,0,2,0
rocketmq-broker 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.broker.topic,TopicConfigManager,353,515,52,22,84,139,47,13,11,12
rocketmq-broker 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.broker.pagecache,QueryMessageTransfer,104,0,8,0,26,0,11,0,7,0
rocketmq-broker 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.broker.pagecache,ManyMessageTransfer,104,0,8,0,26,0,11,0,7,0
rocketmq-broker 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.broker.pagecache,OneMessageTransfer,76,0,4,0,18,0,9,0,7,0
rocketmq-broker 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.broker.transaction.jdbc,JDBCTransactionStore,469,0,48,0,112,0,39,0,15,0
rocketmq-broker 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.broker.transaction.jdbc,JDBCTransactionStoreConfig,43,0,0,0,17,0,9,0,9,0
rocketmq-broker 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.broker.out,BrokerOuterAPI,445,61,55,3,98,21,38,7,9,7
rocketmq-broker 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.broker,BrokerController,355,1003,61,37,89,200,80,22,31,22
rocketmq-broker 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.broker,BrokerStartup.new Runnable() {...},55,0,2,0,13,0,3,0,2,0
rocketmq-broker 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.broker,BrokerStartup.new Object() {...},26,0,0,0,1,0,1,0,1,0
rocketmq-broker 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.broker,BrokerPathConfigHelper,6,68,0,0,3,5,2,5,2,5
rocketmq-broker 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.broker,BrokerController.new Runnable() {...},11,6,0,0,5,1,1,1,1,1
rocketmq-broker 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.broker,BrokerController.new Runnable() {...},18,0,0,0,6,0,2,0,2,0
rocketmq-broker 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.broker,BrokerController.new Runnable() {...},17,0,0,0,6,0,2,0,2,0
rocketmq-broker 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.broker,BrokerController.new Runnable() {...},10,6,0,0,5,1,1,1,1,1
rocketmq-broker 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.broker,BrokerController.new Runnable() {...},12,6,0,0,5,1,1,1,1,1
rocketmq-broker 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.broker,BrokerStartup,450,7,33,0,116,3,23,1,6,1
rocketmq-broker 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.broker,BrokerController.new Runnable() {...},11,6,0,0,5,1,1,1,1,1
rocketmq-broker 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.broker,BrokerController.new Runnable() {...},10,6,0,0,5,1,1,1,1,1
rocketmq-broker 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.broker,BrokerController.new Runnable() {...},10,6,0,0,5,1,1,1,1,1
rocketmq-broker 4.1.0-incubating-SNAPSHOT,org.apache.rocketmq.broker,BrokerController.new Runnable() {...},15,6,0,0,5,1,1,1,1,1
